sr.no,Game Name,Genre,Description,Download Link,Profile Image URL
11,God of War: Ghost of Sparta,"fighting,  boss fight,  missions","God of War: Ghost of Sparta is an action-adventure game developed by Ready at Dawn and released in 2010 for the PlayStation Portable (PSP). Set between God of War (2005) and God of War II, the game follows Kratos as he embarks on a personal journey to uncover his past and find his long-lost brother, Deimos. Traveling to the city of Atlantis and facing powerful enemies like Thanatos, the God of Death, Kratos discovers dark secrets about his destiny. With enhanced combat mechanics, improved graphics, and an emotional storyline, Ghost of Sparta is one of the best PSP games ever made.",https://coolrom.com.au/roms/psp/45583/God_of_War_-_Ghost_of_Sparta.php,D:\Data Science Project\game platform\gow ghost.jpg
12,God of War: Revork,"fighting,  boss fight,  missions","God of War: Ragnarok is an action-adventure game developed by Santa Monica Studio and released in 2022 for PlayStation 4 and PlayStation 5. It is the direct sequel to God of War (2018) and continues the journey of Kratos and his son, Atreus, as they prepare for the prophesied Ragnarök, the end of the Norse world. Facing powerful gods like Thor and Odin, Kratos must confront his past while guiding Atreus in his quest to uncover his true identity as Loki.",https://www.gamesradar.com/god-of-war-gets-a-giant-sized-update-that-includes-new-game-mode/,D:\Data Science Project\game platform\gow ren.jpg
13,Ben 10,"fighting,  boss fight,  missions","Ben 10 is an action-adventure game series based on the popular Cartoon Network animated show. Players take on the role of Ben Tennyson, a young boy who discovers the Omnitrix, a powerful alien watch that allows him to transform into different extraterrestrial beings, each with unique abilities. Throughout the game, Ben fights villains, solves puzzles, and saves the world from various threats.",https://coolrom.com.au/roms/ps3/71204/Ben_10_-_Omniverse.php,D:\Data Science Project\game platform\b10.jpg
14,Ben 10: Protect Earth,"fighting,  boss fight,  missions","Ben 10: Protector of Earth is an action-adventure game developed by High Voltage Software and released in 2007 for PlayStation 2, PlayStation Portable (PSP), Nintendo DS, and Wii. The game follows Ben Tennyson, a young hero who must recover pieces of the Omnitrix after it is tampered with by Vilgax and his alien forces.",https://coolrom.com.au/roms/psp/47310/Ben_10_-_Protector_of_Earth.php,D:\Data Science Project\game platform\b10 prote.jpg
15,Ben 10: Alian Force,"fighting,  boss fight,  missions","Ben 10: Alien Force is an action-adventure game developed by Monkey Bar Games and released in 2008 for PlayStation 2, PlayStation Portable (PSP), Nintendo DS, and Wii. The game is based on the Ben 10: Alien Force animated series and follows Ben Tennyson, now a teenager, as he reactivates the Omnitrix to fight the Highbreed and the DNAliens threatening Earth.",https://coolrom.com.au/roms/psp/47578/Ben_10_-_Alien_Force_(Europe).php,D:\Data Science Project\game platform\b alian fo.jpg
16,Ben 10: Vilgax Attack,"fighting,  boss fight,  missions","Ben 10: Vilgax Attacks is an action-adventure game developed by Papaya Studio and released in 2009 for PlayStation 2, PlayStation Portable (PSP), Xbox 360, Wii, and Nintendo DS. Based on the Ben 10: Alien Force animated series, the game follows Ben Tennyson as he battles his arch-nemesis, Vilgax, who has launched a full-scale invasion of Earth using his alien army.",https://coolrom.com.au/roms/psp/47320/Ben_10_-_Alien_Force_Vilgax_Attacks.php,D:\Data Science Project\game platform\vilg.jpg
17,WWE Smack Down Pain,Face to face fight,"WWE SmackDown! Here Comes the Pain is a professional wrestling game developed by Yuke’s and published by THQ in 2003 for the PlayStation 2. It is one of the most beloved games in the WWE SmackDown series, featuring an improved grappling system, enhanced visuals, and realistic wrestler attributes.",https://coolrom.com.au/roms/ps2/41802/WWE_SmackDown!_Here_Comes_the_Pain.php,D:\Data Science Project\game platform\wwe.jpg
18,Mortal Combat 5,"fighting,  boss fight,  missions","Mortal Kombat is a legendary fighting game franchise developed by NetherRealm Studios (originally by Midway Games) and first released in 1992. Known for its brutal combat, iconic characters, and gruesome Fatalities, Mortal Kombat has become one of the most popular fighting game series in history.",https://coolrom.com.au/roms/genesis/5740/Mortal_Combat_5.php,D:\Data Science Project\game platform\mortal.jpg
19,Tekken 5,Face to face fight,"Tekken 5 is a 3D fighting game developed and published by Bandai Namco in 2004 for arcades and 2005 for PlayStation 2. It is the fifth main installment in the Tekken series and is praised for its improved graphics, faster gameplay, and expanded roster.",https://coolrom.com.au/roms/mame/62780/Tekken_5_Dark_Resurrection_(TED1_Ver._A).php,D:\Data Science Project\game platform\tekken 5.jpg
20,Assessian Cread,"fighting, boss fight, missions","Assassin’s Creed is an action-adventure game developed by Ubisoft and first released in 2007. The game follows Desmond Miles, a modern-day man who is forced to relive the genetic memories of his ancestor, Altaïr Ibn-La'Ahad, using a device called the Animus. Set during the Third Crusade (1191 AD), players explore historical cities like Jerusalem, Damascus, and Acre, using stealth, parkour, and combat to complete assassination missions.",https://coolrom.com.au/roms/ps3/71423/Assassin's_Creed_-_Revelations.php,D:\Data Science Project\game platform\asse cre.jpg
21,Ghost Raider,"fighting, boss fight, missions","Ghost Rider is an action-adventure hack-and-slash game developed by Climax Studios and released in 2007 for PlayStation 2, PlayStation Portable (PSP), and Game Boy Advance. The game is based on the Marvel Comics character Ghost Rider and ties into the 2007 Ghost Rider movie.",https://coolrom.com.au/roms/psp/47293/Ghost_Rider.php,D:\Data Science Project\game platform\ghost ride.jpg
22,Spider Man ,"open world,  mission, fighting","Spider-Man (2000) is an action-adventure game developed by Neversoft and released for PlayStation, Nintendo 64, and PC. The game follows Peter Parker (Spider-Man) as he is framed for a crime he didn’t commit. Players swing through New York City, fighting classic villains like Venom, Carnage, and Doctor Octopus while clearing Spider-Man’s name.",https://coolrom.com.au/roms/segacd/249/Amazing_Spider-Man_vs._Kingpin.php,D:\Data Science Project\game platform\spider.jpg
23,Spider Man 2,"open world,  mission, fighting","Spider-Man 2 (2004) is an open-world action-adventure game developed by Treyarch for PlayStation 2, Xbox, and GameCube. Based on the Spider-Man 2 movie, players control Peter Parker, fighting crime and taking on Doctor Octopus while balancing his personal life.",https://coolrom.com.au/roms/psp/47418/Spider-Man_2.php,D:\Data Science Project\game platform\spide 2.jpg
24,Spider Man 3,"open world,  mission, fighting","Spider-Man 3 (2007) is an action-adventure game released for multiple platforms, following the events of the Spider-Man 3 movie. Players can switch between classic Spider-Man and the black symbiote suit, gaining increased strength and new abilities.",https://coolrom.com.au/roms/psp/45664/Spider-Man_3.php,D:\Data Science Project\game platform\spide 3.jpg
25,Prince Of Persia,"fighting,  boss fight,  missions","Prince of Persia (2003) is an action-platformer developed by Ubisoft. Players control the Prince, who discovers the Sands of Time, a mystical power that lets him rewind time. The game features parkour, sword combat, and puzzles, making it one of the most innovative action-adventure games of its time.",https://coolrom.com.au/roms/psp/52905/Prince_of_Persia_-_Boukyaku_no_Suna_(Japan).php,D:\Data Science Project\game platform\pop.jpg
26,Tomb Rider,"mission, level , adventures","Tomb Raider (1996) is an action-adventure game starring Lara Croft, an archaeologist searching for ancient artifacts in dangerous tombs. The game focuses on exploration, puzzles, and combat, making Lara one of gaming’s most iconic characters.",https://coolrom.com.au/roms/psx/39777/Tomb_Raider_(v1.1).php,D:\Data Science Project\game platform\tomb.jpg
27,Minecraft,"open world crafting, creativity","Minecraft is a sandbox survival game developed by Mojang Studios. Players explore a blocky world, mine resources, craft tools, and build structures. The game features Survival Mode, where players gather food and fight monsters, and Creative Mode, where they can build freely.",https://coolrom.com.au/roms/ps3/71050/Minecraft_-_PlayStation_3_Edition.php,D:\Data Science Project\game platform\minc.jpg
28,Dragon Ball,Face to face fight,"The Dragon Ball game series includes fighting and RPG games based on the Dragon Ball anime. Popular titles include Dragon Ball Z: Budokai, Xenoverse, and Kakarot, where players control characters like Goku, Vegeta, and Frieza in epic battles.",https://coolrom.com.au/roms/psx/67152/Dragon_Ball_-_Final_Bout_(Europe).php,D:\Data Science Project\game platform\dragon ball.jpg
29,Ninja Guiden 3,"fighting,  boss fight,  missions","Ninja Gaiden 3 is an action-packed hack-and-slash game developed by Team Ninja and released in 2012. Players control Ryu Hayabusa, a ninja warrior fighting against a mysterious terrorist organization. The game features fast-paced sword combat, brutal finishers, and challenging boss fights.",https://coolrom.com.au/roms/ps3/71199/Ninja_Gaiden_3_-_Razor's_Edge.php,D:\Data Science Project\game platform\ninja gu 3.jpg
30,Prince Of Persia : Revelation,"fighting,  boss fight,  missions","Prince of Persia: Revelations (2005) is a PSP-exclusive enhanced version of Prince of Persia: Warrior Within. Players continue the Prince’s dark journey, battling enemies and solving puzzles with acrobatic parkour moves and a dual-weapon combat system.",https://coolrom.com.au/roms/psp/52898/Prince_of_Persia_-_Revelations.php,D:\Data Science Project\game platform\pop rev.jpg
31,Tekken 6,Face to face fight,"Tekken 6 is a 3D fighting game developed by Bandai Namco and released in 2009. Featuring 40+ characters, including Jin Kazama, Kazuya Mishima, and Lars Alexandersson, it introduces the Rage System for more powerful attacks when low on health.",https://coolrom.com.au/roms/psp/45588/Tekken_6.php,D:\Data Science Project\game platform\tekken 6.jpg
32,SSX,"level , mission, fun","SSX is a snowboarding racing game developed by EA Sports Big. Players perform tricks, jumps, and stunts while racing down mountains in locations like Alaska and the Himalayas.",https://coolrom.com.au/roms/psp/53160/SSX_-_On_Tour.php,D:\Data Science Project\game platform\ssx.jpg
33,Ninja Guiden 2,"fighting,  boss fight,  missions","Ninja Gaiden 2 (2008) is a hack-and-slash game starring Ryu Hayabusa, who battles supernatural creatures and enemy ninjas. Known for its fast combat and brutal difficulty, the game features new weapons and combat techniques.",https://coolrom.com.au/roms/mame/12072/Ninja_Gaiden_Episode_II:_The_Dark_Sword_of_Chaos_(PlayChoice-10).php,D:\Data Science Project\game platform\ninja gu 2.jpg
34,Uncharted 4,"fighting,  boss fight,  missions","Uncharted 4: A Thief’s End (2016) is an action-adventure game by Naughty Dog, following Nathan Drake’s final journey as he searches for a lost pirate treasure. Featuring stunning visuals, cinematic storytelling, and thrilling platforming sequences, it’s one of the best PlayStation exclusives.",https://coolrom.com.au/roms/genesis/5746/Uncharted_Waters.php,D:\Data Science Project\game platform\unchar 4.jpg
35,Inside,"mission, level , adventures","Inside (2016) is a dark puzzle-platformer by Playdead, where players control a boy in a dystopian world. The game features creepy environments, physics-based puzzles, and a mysterious storyline with an unexpected ending.",https://coolrom.com.au/roms/c64/34580/Inside_Outing.php,D:\Data Science Project\game platform\inside.jpg
